player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Joel Senior,JAM,Bristol Rovers,36,1987,0.4,Forward,Defender,0,2,1,50.0,5.00,2.50,16.0,16,1440,0,2,0,0
Steven Sessegnon,ENG,Wigan Athletic,24,2000,5.0,,Defender,0,3,0,0.0,0.60,0.00,14.3,15,1290,0,4,2,4
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Paik Seung-ho,KOR,Birmingham City,27,1997,14.9,,Midfielder,0,14,2,14.3,0.94,0.13,0.0,1,1,0,73,12,14
Kofi Shaw,,Bristol Rovers,0,0,0.8,,Midfielder,0,1,0,0.0,1.25,0.00,7.7,13,693,0,2,0,3
Josh Sheehan,WAL,Bolton,29,1995,14.0,,Midfielder,1,16,6,37.5,1.15,0.43,8.2,11,742,0,43,10,13
Jordan Shipley,IRL,Shrewsbury,27,1997,6.3,,Midfielder,1,6,1,16.7,0.95,0.16,6.0,11,540,1,25,5,3
Tola Showunmi,ENG,Crawley Town,24,2000,1.8,,Forward,0,5,2,40.0,2.71,1.08,12.0,12,1080,2,2,0,0
Toby Sibbick,UGA,Wigan Athletic,25,1999,4.5,,Defender,0,0,0,0,0.00,0.00,4.0,4,360,0,12,1,4
Jack Simpson,ENG,Leyton Orient,27,1996,3.8,,Defender,0,3,1,33.3,0.80,0.27,3.4,8,304,0,4,3,3
Tyreece Simpson,ENG,Stevenage,22,2002,5.5,,Forward,0,2,1,50.0,0.36,0.18,9.3,11,840,3,2,0,2
Scott Sinclair,ENG,Bristol Rovers,35,1989,7.4,Forward,Midfielder,3,22,6,27.3,2.99,0.82,10.9,13,979,7,4,1,3
Declan Skura,ENG,Wycombe,22,2002,1.7,,Defender,0,0,0,0,0.00,0.00,9.9,15,893,0,1,3,4
Gaga Slonina,USA,Barnsley,20,2004,11.0,,Goalkeeper,0,0,0,0,0.00,0.00,5.9,12,533,0,0,0,0
Thierry Small,ENG,Charlton Ath,20,2004,6.7,Defender,Midfielder,0,5,2,40.0,0.75,0.30,14.0,14,1260,0,39,2,8
Jonny Smith,ENG,Wigan Athletic,27,1997,3.0,,Midfielder,1,10,4,40.0,3.36,1.34,12.9,13,1161,0,34,1,2
Kane Smith,ENG,Stevenage,28,1996,6.6,,Defender,0,1,1,100.0,0.15,0.15,10.4,12,933,0,18,10,8
Korey Smith,ENG,Cambridge Utd,33,1991,15.6,,Midfielder,1,13,6,46.2,0.83,0.38,0,0,0,1,4,15,25
Matthew Smith,ENG,Wigan Athletic,24,2000,11.4,,Midfielder,1,10,1,10.0,0.87,0.09,2.7,11,241,0,4,12,19
Sam Smith,ENG,Reading,26,1998,12.9,,Forward,7,34,17,50.0,2.64,1.32,15.0,15,1350,9,4,4,1
Scott Smith,WAL,Wigan Athletic,23,2001,5.1,,Midfielder,0,3,1,33.3,0.59,0.20,4.9,13,437,0,3,7,6
Ruel Sotiriou,CYP,Bristol Rovers,24,2000,8.4,Forward,Midfielder,1,12,1,8.3,1.43,0.12,2.3,6,203,0,2,3,2
Lino Sousa,ENG,Bristol Rovers,19,2005,3.6,Defender,Midfielder,0,3,0,0.0,0.83,0.00,0,0,0,2,23,3,4
Macauley Southam-Hales,WAL,Stockport,28,1996,3.0,,Midfielder,0,1,0,0.0,0.33,0.00,0.4,2,37,0,10,3,6
